央视,#genre#
CCTV-11,http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8#http://223.110.241.150:6610/gitv/live1/G_CCTV-11-HQ/G_CCTV-11-HQ/#http://112.17.40.145/PLTV/88888888/224/3221226219/index.m3u8#http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221227384/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226219/index.m3u8#http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-11-H265.m3u8
CCTV-12,http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225637/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226167/index.m3u8#http://223.110.241.150:6610/gitv/live1/CCTV-12/CCTV-12/#http://112.17.40.145/PLTV/88888888/224/3221226563/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226167/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226563/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226520/index.m3u8#http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-12H265.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226167/index.m3u8
CCTV-13,http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-xw.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-13/1.m3u8#http://223.110.241.150:6610/gitv/live1/G_CCTV-13-HQ/G_CCTV-13-HQ/#http://112.17.40.145/PLTV/88888888/224/3221226193/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226417/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226193/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226417/index.m3u8#http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-xw.m3u8
CCTV-14,http://39.135.138.59:18890/PLTV/88888910/224/3221225639/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225640/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226126/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226565/index.m3u8#http://223.110.241.150:6610/gitv/live1/G_CCTV-14/G_CCTV-14/#http://39.135.33.162/PLTV/88888888/224/3221226236/index.m3u8#http://117.148.187.37/PLTV/88888888/224/3221226126/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226565/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226508/index.m3u8#http://223.110.245.155/ott.js.chinamobile.com/PLTV/3/224/3221225813/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226565/index.m3u8#http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-14H265.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226126/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226565/index.m3u8
CCTV-15,http://39.135.138.59:18890/PLTV/88888910/224/3221225641/index.m3u8#http://223.110.241.150:6610/gitv/live1/G_CCTV-15/G_CCTV-15/#http://112.17.40.145/PLTV/88888888/224/3221226112/index.m3u8#http://223.110.245.143/ott.js.chinamobile.com/PLTV/3/224/3221225817/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226112/index.m3u8#http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-15-yyH265.m3u8
CCTV-5+,http://39.135.138.59:18890/PLTV/88888910/224/3221225649/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225706/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226166/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226406/index.m3u8#http://223.110.241.150:6610/gitv/live1/G_CCTV-5PLUS-CQ/G_CCTV-5PLUS-CQ/#http://39.135.33.163/PLTV/88888888/224/3221226311/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226166/index.m3u8#http://112.17.40.145/PLTV/88888888/224/3221226406/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226166/index.m3u8#http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-5plusH265.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226166/index.m3u8#http://39.134.185.235/PLTV/88888888/224/3221226406/index.m3u8
CCTV-17,http://39.135.138.59:18890/PLTV/88888910/224/3221225908/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225907/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225909/index.m3u8#http://223.110.241.150:6610/gitv/live1/G_CCTV-17/G_CCTV-17/#http://111.6.169.89/live.rxip.sc96655.com/live/CCTV-17.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8
CCTV纯享4K,http://39.135.138.59:18890/PLTV/88888910/224/3221225786/index.m3u8
CCTV-4K,http://39.134.185.235/PLTV/88888888/224/3221226758/index.m3u8#http://112.17.40.12/PLTV/88888888/224/3221226758/1.m3u8#http://39.134.176.148/PLTV/88888888/224/3221226758/index.m3u8#http://117.148.187.83/PLTV/88888888/224/3221226758/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226758/index.m3u8
CETV-1,http://223.110.241.150:6610/gitv/live1/G_CETV-1/G_CETV-1/
